state_or_territory,population_estimate_for_july_1_2013_number,census_population_april_1_2010_number,census_population_april_1_2000_number,democrat,repulic
Alabama,33.7851,33.2,,36.4,63.6
Alaska,21.35993,54.8,,46.4,48.1
American Samoa,,,,,
Arizona,31.10031,34.1,,41.6,53.6
Arkansas,28.27432,40.3,,41.5,55.6
California,42.94228,30.7,,59.4,40.6
Colorado,35.93086,54.7,,49.1,46.6
Connecticut,45.95732,42.5,,50.7,48.2
Delaware,43.03657,34.9,,,
District of Columbia,36.01832,35.7,,47.1,53
Florida,47.8142,43.3,,44.8,48.4
Georgia,35.73025,38.6,,56,52.8
Guam,,,,,
Hawaii,22.81477,36.5,,38.6,60
Idaho,23.74866,39.8,,56,42
Illinois,41.58168,40,,49.5,50.8
Indiana,40.14873,28.7,,37.3,62.5
Iowa,38.38031,50.3,,46.1,59.1
Kansas,28.23397,43.3,,46.1,59.5
Kentucky,29.64698,44.9,,,
Louisiana,29.73235,44.9,,43.3,48.2
Maine,47.02361,58.9,,46.9,51.6
Maryland,45.09019,42,,48.2,50.1
Massachusetts,40.23782,44.7,,46.8,51
Michigan,30.5225,43.2,,50.1,49
Minnesota,41.6248,50.6,,,
Mississippi,38.67477,,,,
Missouri,32.87452,33.6,,,
Montana,27.75748,47.5,,,
Nebraska,36.94104,41.4,,39.8,60
Nevada,26.35872,29.6,,52.6,47.5
New Hampshire,55.03784,48,,,
New Jersey,43.88188,32.5,,42.7,57.6
New Mexico,22.45535,,,,
New York,47.69691,30,,54,47.4
North Carolina,39.04838,41.2,,,
North Dakota,26.09741,45,,,
Northern Mariana Islands,,,,,
Ohio,39.30211,36,,32.9,65.5
Oklahoma,27.87654,30,,41,59
Oregon,36.43333,53.4,,49.8,51.1
Pennsylvania,45.50617,36.5,,54.8,44.7
Puerto Rico,,,,,
Rhode Island,51.76806,42.5,,51.9,49.1
South Carolina,45.45901,35.2,,41.4,59.5
South Dakota,24.61169,44.7,,25.4,74.3
Tennessee,33.05556,29.8,,22.8,70.5
Texas,32.86728,40,,38.9,61.2
U.S. Virgin Islands,,,,,
Utah,29.33344,30.3,,,
Vermont,53.18093,40.8,,46.4,52.8
Virginia,41.22893,36.8,,,
Washington,44.69537,43.1,,,
West Virginia,31.11028,32,,,
Wisconsin,35.65683,56.9,,46.66,52.4
Wyoming,32.09907,39.7,,28.9,70.2
